"organelle","prot","cond","real","ch1","ch2"
"Endosomes","LBR","Control",0.162829165747013,0.387239832363153,0.637283156387706
"Endosomes","LBR","Control",0.227960832045817,0.355259188899514,0.668144828911242
"Endosomes","LBR","Control",0.293092498344622,0.314556551763974,0.66968806748105
"Endosomes","LBR","Control",0.358224164643427,0.442787187205175,0.665117230351598
"Endosomes","LBR","Control",0.423355830942233,0.465506729220283,0.66132730912494
"Endosomes","LBR","Control",0.488487497241038,0.508539082104831,0.717974700803848
"Endosomes","LBR","Control",0.553619163539843,0.552611142844307,0.676598553446256
"Endosomes","LBR","Control",0.618750829838647,0.514475685597479,0.736583430947821
"Endosomes","LBR","Control",0.683882496137452,0.534153119444462,0.72751612963204
"Endosomes","LBR","Control",0.749014162436258,0.59717738571236,0.752245133220534
"Endosomes","LBR","Control",0.814145828735062,0.602895778914468,0.725681597034999
"Endosomes","LBR","Control",0.879277495033868,0.713932727051016,0.675055314876448
"Endosomes","LBR","Control",0.944409161332672,0.695917542181975,0.618203397603952
"Endosomes","LBR","Control",1.00954082763148,0.669295886736023,0.630068980904747
"Endosomes","LBR","Control",1.07467249393028,0.589270471655125,0.597096976120087
"Endosomes","LBR","Control",1.13980416022909,0.45083529615629,0.665879553018612
"Endosomes","LBR","Control",1.20493582652789,0.402071714170191,0.649718932252446
"Endosomes","LBR","Control",1.2700674928267,0.430747113527113,0.608779725935705
"Endosomes","LBR","Control",1.3351991591255,0.43059308273379,0.620713484434363
"Endosomes","LBR","Control",1.40033082542431,0.513301200798393,0.660763314306255
"Endosomes","LBR","Control",0.0325658331494025,0.505362196992549,0.620276543393514
"Endosomes","LBR","Control",0.0976974994482075,0.519038847849666,0.590989098166087
"Endosomes","LBR","Rapa",0,0.565726926676605,0.49177912992417
"Endosomes","LBR","Rapa",0.065131666298805,0.619888059839525,0.520663541656121
"Endosomes","LBR","Rapa",0.13026333259761,0.65039600773889,0.617319510392516
"Endosomes","LBR","Rapa",0.195394998896415,0.836495599708497,0.735535014629504
"Endosomes","LBR","Rapa",0.26052666519522,0.841053110538134,0.736489222763306
"Endosomes","LBR","Rapa",0.325658331494025,0.867428964609005,0.872890364775799
"Endosomes","LBR","Rapa",0.39078999779283,0.876159261328115,0.871457787047068
"Endosomes","LBR","Rapa",0.455921664091635,0.87627393895451,0.838257924736517
"Endosomes","LBR","Rapa",0.52105333039044,1,0.846886294837658
"Endosomes","LBR","Rapa",0.586184996689245,0.91343318918479,0.929006408633938
"Endosomes","LBR","Rapa",0.65131666298805,0.858591388820041,1
"Endosomes","LBR","Rapa",0.716448329286855,0.719498525837609,0.914171889078999
"Endosomes","LBR","Rapa",0.78157999558566,0.662389067892854,0.834463871705831
"Endosomes","LBR","Rapa",0.846711661884465,0.64299005264073,0.729118787522906
"Endosomes","LBR","Rapa",0.91184332818327,0.603466963595403,0.677857309183684
"Endosomes","LBR","Rapa",0.976974994482075,0.632968707805107,0.692628552337177
"Endosomes","LBR","Rapa",1.04210666078088,0.669806120825827,0.796548651959544
"Endosomes","LBR","Rapa",1.10723832707969,0.672758144885933,0.720176566470594
"Endosomes","LBR","Rapa",1.17236999337849,0.700550822534523,0.68350662630476
"Endosomes","Sec61","Control",0.065131666298805,0.650239576783818,0.693833725329788
"Endosomes","Sec61","Control",0.13026333259761,0.615528044576459,0.842008385315472
"Endosomes","Sec61","Control",0.195394998896415,0.88313856427379,0.828254422742612
"Endosomes","Sec61","Control",0.26052666519522,0.982264813650457,0.54011146333981
"Endosomes","Sec61","Control",0.325658331494025,0.864557812804892,0.918984558748338
"Endosomes","Sec61","Control",0.39078999779283,0.527871127203348,0.669853768278965
"Endosomes","Sec61","Control",0.455921664091635,0.311883442100471,0.518406790060334
"Endosomes","Sec61","Control",0.52105333039044,0.296988487305683,0.664101646385111
"Endosomes","Sec61","Control",0.586184996689245,0.410272532142315,0.734251968503937
"Endosomes","Sec61","Control",0.65131666298805,0.5419855603495,0.670211678085694
"Endosomes","Sec61","Control",0.716448329286855,0.624092101554539,0.956922998261581
"Endosomes","Sec61","Control",0.78157999558566,0.587212453656527,0.887488495756212
"Endosomes","Sec61","Control",0.846711661884465,0.597077380048999,0.896078331117701
"Endosomes","Sec61","Control",0.91184332818327,0.466556815471674,0.905153901216893
"Endosomes","Sec61","Control",0.976974994482075,0.589488975131713,0.584262194498415
"Endosomes","Sec61","Control",1.04210666078088,0.49847147843809,0.69322016566111
"Endosomes","Sec61","Control",1.10723832707969,0.51191379572014,0.68519275999591
"Endosomes","Sec61","Control",1.17236999337849,0.536391821867615,0.692504346047653
"Endosomes","Sec61","Control",1.2375016596773,0.638618476681916,0.635366601902035
"Endosomes","Sec61","Control",1.3026333259761,0.622444333629643,0.756544636465896
"Endosomes","Sec61","Control",1.3677649922749,0.463369685406414,0.841369260660599
"Endosomes","Sec61","Rapa",0.227960832045817,0.612032549961403,0.725612214232836
"Endosomes","Sec61","Rapa",0.293092498344622,0.747780684449781,0.828467625881703
"Endosomes","Sec61","Rapa",0.358224164643427,0.753875761214512,0.902512381105956
"Endosomes","Sec61","Rapa",0.423355830942233,0.793785916459388,0.921508552552817
"Endosomes","Sec61","Rapa",0.488487497241038,0.891098078737456,0.914225261609654
"Endosomes","Sec61","Rapa",0.553619163539843,0.906649369585728,0.914149521247615
"Endosomes","Sec61","Rapa",0.618750829838647,0.973110901449524,1
"Endosomes","Sec61","Rapa",0.683882496137452,1,0.981724583611252
"Endosomes","Sec61","Rapa",0.749014162436258,0.828523029419333,0.82492981800324
"Endosomes","Sec61","Rapa",0.814145828735062,0.705158032421305,0.840378408621696
"Endosomes","Sec61","Rapa",0.879277495033868,0.596690325070761,0.772209639549174
"Endosomes","Sec61","Rapa",0.944409161332672,0.636948923578351,0.785329824844305
"Endosomes","Sec61","Rapa",1.00954082763148,0.579155587957801,0.792222197789847
"Endosomes","Sec61","Rapa",1.07467249393028,0.531290204991852,0.773802630389476
"Endosomes","Sec61","Rapa",1.13980416022909,0.502331889527404,0.748874278328728
"Endosomes","Sec61","Rapa",0.0325658331494025,0.545008148211682,0.719281785908872
"Endosomes","Sec61","Rapa",0.0976974994482075,0.498000471738571,0.638034366578466
"Endosomes","Sec61","Rapa",0.162829165747013,0.468280941761729,0.617826349338982
"LDs","LBR","Control",3.45197831383667,0.683782650046659,0.392918071882396
"LDs","LBR","Control",3.51710998013547,0.685409000931073,0.3770826823548
"LDs","LBR","Control",0,0.680617318584243,0.453723956369174
"LDs","LBR","Control",0.065131666298805,0.67288188850391,0.371382804110234
"LDs","LBR","Control",0.13026333259761,0.653016196665296,0.383425458019517
"LDs","LBR","Control",0.195394998896415,0.642850187819842,0.438721819363783
"LDs","LBR","Control",0.26052666519522,0.647245019497789,0.436268752671257
"LDs","LBR","Control",0.325658331494025,0.645860252773876,0.414273759369601
"LDs","LBR","Control",0.39078999779283,0.634384215659391,0.382021140191145
"LDs","LBR","Control",0.455921664091635,0.634075787951214,0.423655033455807
"LDs","LBR","Control",0.52105333039044,0.641532264643605,0.46194873342025
"LDs","LBR","Control",0.586184996689245,0.620750237241962,0.480499376856411
"LDs","LBR","Control",0.65131666298805,0.609443151141683,0.532261598192704
"LDs","LBR","Control",0.716448329286855,0.605199375354942,0.60902139519515
"LDs","LBR","Control",0.78157999558566,0.597751319896903,0.596759653338218
"LDs","LBR","Control",0.846711661884465,0.584066814073356,0.651226353765978
"LDs","LBR","Control",0.91184332818327,0.607140469873297,0.661462430008584
"LDs","LBR","Control",0.976974994482075,0.613155336509893,0.750756930901098
"LDs","LBR","Control",1.04210666078088,0.606489403192385,0.71052017225341
"LDs","LBR","Control",1.10723832707969,0.605552540870619,0.71838578873457
"LDs","LBR","Control",1.17236999337849,0.600875071514701,0.808046633408398
"LDs","LBR","Control",1.2375016596773,0.606893096114179,0.742331023930869
"LDs","LBR","Control",1.3026333259761,0.620403387652049,0.736117546071322
"LDs","LBR","Control",1.3677649922749,0.609551574533977,0.689394347530951
"LDs","LBR","Control",1.43289665857371,0.60934525429233,0.738753784654506
