"cond","density_in"
"CMV",0.364434989706376
"CMV",0.374092372868668
"CMV",0.392946194772493
"CMV",0.268493233897741
"CMV",0.293696963216448
"CMV",0.381544457511781
"CMV",0.387034197011379
"CMV",0.332659254132905
"CMV",0.356298995973621
"CMV",0.293932400544936
"CMV",0.381614594288926
"CMV",0.232413704398108
"CMV",0.324263663870668
"CMV",0.333967018910366
"CMV",0.451118473594928
"CMV",0.316136649980142
"CMV",0.302375634628721
"CMV",0.316304536676251
"CMV",0.394023561379538
"CMV",0.3833230545552
"crCMV",0.352353976221767
"crCMV",0.296917862648169
"crCMV",0.317906352600244
"crCMV",0.441019170918563
"crCMV",0.287862607998521
"crCMV",0.324483570479929
"crCMV",0.353051854768006
"crCMV",0.273668974198466
"crCMV",0.399395016492983
"crCMV",0.34499627929461
"crCMV",0.381600949305561
"crCMV",0.291681181034875
"crCMV",0.406665964804664
"crCMV",0.308795638271619
"crCMV",0.28358187974044
"crCMV",0.416301169042635
"crCMV",0.225557488018381
"crCMV",0.324869561113415
"crCMV",0.362422749787121
"crCMV",0.301388876055665
"crCMV",0.369559598975466
"LBR",0.0763337174783268
"LBR",0.220455577174649
"LBR",0.375142488985937
"LBR",0.129025963759544
"LBR",0.378037320264987
"LBR",0.187892061668801
"LBR",0.0649716082232135
"LBR",0.0764562224540557
"LBR",0.419484360741371
"LBR",0.236595002453343
"LBR",0.388640334508201
"LBR",0.211770339358713
"LBR",0.35573607844292
"LBR",0.55437314338789
"LBR",0.291890229081194
"LBR",0.362619525508354
"PGK",0.524402197432725
"PGK",0.150134430919066
"PGK",0.2851142644753
"PGK",0.351469014919357
"PGK",0.321572550080742
"PGK",0.36920624095738
"PGK",0.291724452283983
"PGK",0.223635099775165
"PGK",0.323368018669203
"PGK",0.294008656685112
"PGK",0.324872862339269
"PGK",0.432045192353137
"PGK",0.417040166477078
"PGK",0.484283753292642
"PGK",0.237684811640879
"PGK",0.444807152307724
"PGK",0.391197377518681
"Pool5",0.359739559988851
"Pool5",0.191620372197326
"Pool5",0.113094707618682
"Pool5",0.142729494769409
"Pool5",0.113184995588769
"Pool5",0.285769641526865
"Pool5",0.185244729973127
