"cellline","organelle","real","ch1","ch2"
"Cos7","Golgi",-1.70690750165538,0.222584848418176,0.659449123235282
"Cos7","Golgi",-1.64177583535657,0.301295920088595,0.632450465844827
"Cos7","Golgi",-1.57664416905777,0.290676269334292,0.666276089344562
"Cos7","Golgi",-1.51151250275896,0.315631470738511,0.588266406281785
"Cos7","Golgi",-1.44638083646016,0.284065878993676,0.599666381870703
"Cos7","Golgi",-1.38124917016135,0.250762126179248,0.547605679645226
"Cos7","Golgi",-1.31611750386255,0.230439576289625,0.595052687253346
"Cos7","Golgi",-1.25098583756374,0.187828961039278,0.536726473819114
"Cos7","Golgi",-1.18585417126494,0.19834838028324,0.572252736075512
"Cos7","Golgi",-1.12072250496613,0.258577739314954,0.563529842548517
"Cos7","Golgi",-1.05559083866733,0.303596355484497,0.479645225599089
"Cos7","Golgi",-0.990459172368523,0.251742439243814,0.576003905773221
"Cos7","Golgi",-0.925327506069717,0.204741194906284,0.515895683306888
"Cos7","Golgi",-0.860195839770912,0.179118598323445,0.422669758737133
"Cos7","Golgi",-0.795064173472108,0.162018124790675,0.463452540786851
"Cos7","Golgi",-0.729932507173302,0.155713318323053,0.529639122828431
"Cos7","Golgi",-0.664800840874497,0.161568305329627,0.493388665120632
"Cos7","Golgi",-0.599669174575693,0.154248960403664,0.467065381016315
"Cos7","Golgi",-0.534537508276888,0.148611549114662,0.528955612514748
"Cos7","Golgi",-0.469405841978082,0.190889689111191,0.476292770251027
"Cos7","Golgi",-0.404274175679278,0.176351230769607,0.552471622116441
"Cos7","Golgi",-0.339142509380473,0.176084761632356,0.569754668619553
"Cos7","Golgi",-0.274010843081667,0.130689666131284,0.524992880100899
"Cos7","Golgi",-0.208879176782863,0.166944136823346,0.489556125147484
"Cos7","Golgi",-0.143747510484058,0.115672052276844,0.377964929411286
"Cos7","Golgi",-0.0786158441852525,0.170999845985728,0.419439358802229
"Cos7","Golgi",-0.0134841778864476,0.187855852420102,0.518035721550917
"Cos7","Golgi",0.0516474884123577,0.203108154689001,0.56046218316449
"Cos7","Golgi",0.116779154711162,0.272179888669683,0.472557874608406
"Cos7","Golgi",0.181910821009967,0.364549337127463,0.508116684974979
"Cos7","Golgi",0.247042487308772,0.341554761852376,0.469539037389641
"Cos7","Golgi",0.312174153607577,0.369025529699085,0.451889824647056
"Cos7","Golgi",0.377305819906383,0.23602320481698,0.332780015460352
"Cos7","Golgi",0.442437486205188,0.222369717371587,0.300337686643069
"Cos7","Golgi",0.507569152503992,0.186846203303728,0.261825135278083
"Cos7","Golgi",0.572700818802797,0.183396772545367,0.294316286260629
"Cos7","Golgi",0.637832485101602,0.19436845592136,0.294324423288173
"Cos7","Golgi",0.702964151400407,0.208806682752602,0.265437975507547
"Cos7","Golgi",0.768095817699213,0.187007551588669,0.228723707229749
"Cos7","Golgi",0.833227483998018,0.194165548229691,0.212734448106107
"Cos7","Golgi",0.898359150296823,0.198372826993079,0.250343789413727
"Cos7","Golgi",0.963490816595627,0.238929918616903,0.317547499898287
"Cos7","Golgi",1.02862248289443,0.263398630495315,0.395134057528785
"Cos7","Golgi",1.09375414919324,0.245616093758022,0.416656495382237
"Cos7","Golgi",1.15888581549204,0.210190366529521,0.411627812360145
"Cos7","Golgi",1.22401748179085,0.196664001975294,0.447626022214085
"Cos7","Golgi",1.28914914808965,0.200577920220607,0.46758615077912
"Cos7","Golgi",1.35428081438846,0.228166032274546,0.497335123479393
"Cos7","Golgi",1.41941248068726,0.26509523215818,0.533024126286667
"Cos7","Golgi",1.48454414698607,0.331490051411431,0.557646771634322
"Cos7","Golgi",1.54967581328487,0.483910397919096,0.499971520403597
"Cos7","Golgi",1.61480747958368,0.59152970397479,0.491378819317303
"Cos7","Golgi",1.67993914588248,0.658261887823827,0.378225314292689
"Cos7","Golgi",1.74507081218129,0.57458324471401,0.360812075348875
"Cos7","Golgi",1.81020247848009,0.636418752582184,0.422580251434151
"Cos7","Golgi",1.8753341447789,0.667671426441072,0.484283331299077
"Cos7","Golgi",1.9404658110777,0.818048028006151,0.483420806379429
"Cos7","Golgi",2.00559747737651,0.83438820886291,0.51850766914846
"Cos7","Golgi",2.07072914367531,0.937729340696682,0.59898287155702
"Cos7","Golgi",2.13586080997412,0.90036254470692,0.600520769762806
"Cos7","Golgi",2.20099247627292,0.672817458862299,0.574596200008137
"Cos7","Golgi",2.26612414257173,0.4484382219419,0.514666992147768
"Cos7","Golgi",2.33125580887053,0.285689140527022,0.427910004475365
"Cos7","Golgi",2.39638747516934,0.219467892913632,0.297326986451849
"Cos7","Golgi",2.46151914146814,0.232079950519859,0.253354489604947
"Cos7","Golgi",2.52665080776695,0.22949104394785,0.233125839130965
"Cos7","Golgi",2.59178247406575,0.251911121541707,0.217364416778551
"Cos7","Golgi",2.65691414036456,0.274778573925628,0.217356279751007
"Cos7","Golgi",2.72204580666336,0.245400962711433,0.230302290573253
"Cos7","Golgi",2.78717747296217,0.21463966772032,0.268245250010171
"Cos7","Golgi",2.85230913926097,0.181372584970652,0.306090565116563
"Cos7","Golgi",2.91744080555978,0.184227960679912,0.31447984051426
"Cos7","Golgi",2.98257247185858,0.198592847381635,0.348728589446275
"Cos7","Golgi",3.04770413815739,0.167599308647046,0.436990927214289
"Cos7","Golgi",3.11283580445619,0.161404512373702,0.531453679970707
"Cos7","Golgi",3.177967470755,0.16383207066077,0.530639977216323
"Cos7","Golgi",3.2430991370538,0.192745194388013,0.60258757475894
"Cos7","Golgi",3.30823080335261,0.258257487416056,0.675422108303837
"Cos7","Golgi",3.37336246965141,0.259731624019381,0.663338622401237
"Cos7","Golgi",3.43849413595022,0.267439671631793,0.686569836038895
"Cos7","Golgi",3.50362580224902,0.298807245026928,0.703364660889377
"Cos7","Golgi",3.56875746854783,0.329766558367742,0.723088815655641
