 ,Label,Area,Mean,IntDen,RawIntDen
1,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1001_NoNucleus_Ch2.tif:0585-0622,626.826,43.822,27468.473,6475154.000
2,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1002_NoNucleus_Ch2.tif:0642-0685,546.552,11.857,6480.577,1527669.000
3,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1003_NoNucleus_Ch2.tif:0575-0664,417.702,8.066,3369.362,794261.000
4,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1004_NoNucleus_Ch2.tif:0628-0653,464.951,12.799,5951.116,1402859.000
5,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1005_NoNucleus_Ch2.tif:0564-0563,614.422,9.063,5568.408,1312643.000
6,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1006_NoNucleus_Ch2.tif:0559-0601,457.820,19.587,8967.329,2113872.000
7,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1007_NoNucleus_Ch2.tif:0567-0846,502.943,20.142,10130.421,2388048.000
8,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1007_NoNucleus_Ch2.tif:0640-0380,536.295,20.466,10975.594,2587281.000
9,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1008_NoNucleus_Ch2.tif:0664-0656,452.907,38.726,17539.300,4134546.000
10,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1009_NoNucleus_Ch2.tif:0656-0676,430.407,22.297,9596.624,2262216.000
11,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1010_NoNucleus_Ch2.tif:0717-0603,320.281,18.799,6021.090,1419354.000
12,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1011_NoNucleus_Ch2.tif:0408-0605,303.453,39.515,11990.919,2826624.000
13,241002_LD444n2_HCT116_CMVFKBPGFPSec61b_cntlnorapac1_NoNucleus_Ch2.tif:0511-0581,452.835,9.917,4490.936,1058650.000
