 ,Label,Area,Mean,IntDen,RawIntDen
1,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1001_NoNucleus_Ch2.tif:0343-0775,470.173,6.176,2903.576,684461.000
2,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1001_NoNucleus_Ch2.tif:0869-0429,467.063,8.359,3904.282,920358.000
3,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1002_NoNucleus_Ch2.tif:0615-0708,408.475,6.330,2585.445,609468.000
4,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1002_NoNucleus_Ch2.tif:0874-0767,341.560,5.887,2010.700,473983.000
5,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1003_NoNucleus_Ch2.tif:0321-0726,307.792,4.685,1441.982,339919.000
6,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1003_NoNucleus_Ch2.tif:0662-0649,321.363,4.222,1356.847,319850.000
7,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1004_NoNucleus_Ch2.tif:0656-0587,573.914,7.156,4107.171,968185.000
8,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1005_NoNucleus_Ch2.tif:0525-0639,404.636,5.777,2337.509,551022.000
9,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1005_NoNucleus_Ch2.tif:0743-0788,317.240,6.610,2097.091,494348.000
10,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1006_NoNucleus_Ch2.tif:0652-0587,483.938,10.682,5169.499,1218608.000
11,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1007_NoNucleus_Ch2.tif:0666-0671,352.500,4.623,1629.565,384138.000
12,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1008_NoNucleus_Ch2.tif:0649-0609,470.737,8.614,4054.781,955835.000
13,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1009_NoNucleus_Ch2.tif:0659-0251,474.534,9.691,4598.542,1084016.000
14,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1009_NoNucleus_Ch2.tif:0649-0647,447.117,9.210,4117.971,970731.000
15,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1010_NoNucleus_Ch2.tif:0421-0610,260.374,7.102,1849.049,435877.000
16,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1010_NoNucleus_Ch2.tif:0789-0726,325.614,9.594,3124.094,736444.000
17,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1011_NoNucleus_Ch2.tif:0513-0608,364.599,6.955,2535.617,597722.000
18,241002_LD444n2_HCT116_PGKFKBPGFPSec61b_cntlnorapac1_NoNucleus_Ch2.tif:0562-0952,271.094,5.159,1398.466,329661.000
