"prot","cond","real","ch1","ch2"
"LBR1_245S_mitosis","Control",15.9431389693089,0.661491586573716,0.0424907281518548
"LBR1_245S_mitosis","Control",16.0082706356077,0.620518298346647,0.0290275827768251
"LBR1_245S_mitosis","Control",16.0734023019065,0.57031150698593,0.0331999491352813
"LBR1_245S_mitosis","Control",16.1385339682053,0.57877382011596,0.0335741836665968
"LBR1_245S_mitosis","Control",16.2036656345041,0.560975341474623,0.0341227510541153
"LBR1_245S_mitosis","Control",16.2687973008029,0.547464239271781,0.0336160235520855
"LBR1_245S_mitosis","Control",16.3339289671017,0.53686068226483,0.0390040710277966
"LBR1_245S_mitosis","Control",16.3990606334005,0.549675146904974,0.0299620068860726
"LBR1_245S_mitosis","Control",16.4641922996993,0.560211484497981,0.0361496610622344
"LBR1_245S_mitosis","Control",16.5293239659981,0.575366406914556,0.049645348570422
"LBR1_245S_mitosis","Control",16.5944556322969,0.584854121650029,0.0432206017098242
"LBR1_245S_mitosis","Control",16.6595872985957,0.624234920852195,0.0454590355834696
"LBR1_245S_mitosis","Control",16.7247189648945,0.661264262737468,0.041502841966705
"LBR1_245S_mitosis","Control",16.7898506311933,0.607899381092523,0.0336229968663337
"LBR1_245S_mitosis","Control",16.8549822974921,0.6201895343039,0.0477393093426035
"LBR1_245S_mitosis","Control",16.920113963791,0.660220528564584,0.0344504968237768
"LBR1_245S_mitosis","Control",16.9852456300898,0.648685677131711,0.0393434389878716
"LBR1_245S_mitosis","Control",17.0503772963886,0.643487783177058,0.0371328983712188
"LBR1_245S_mitosis","Control",17.1155089626874,0.65681311536318,0.0370492186002414
"LBR1_245S_mitosis","Control",17.1806406289862,0.640747675430449,0.0384136637547895
"LBR1_245S_mitosis","Control",17.245772295285,0.600467358252589,0.0506239370032409
"LBR1_245S_mitosis","Control",17.3109039615838,0.593725862119538,0.0277049775077657
"LBR1_245S_mitosis","Control",17.3760356278826,0.592426694173666,0.0431531930054258
"LBR1_245S_mitosis","Control",17.4411672941814,0.58245866617128,0.0482785789777912
"LBR1_245S_mitosis","Control",17.5062989604802,0.568952452653089,0.0559585224030498
"LBR1_245S_mitosis","Control",17.571430626779,0.556949509664929,0.0654282831519917
"LBR1_245S_mitosis","Control",17.6365622930778,0.535483295364549,0.0474348079537691
"LBR1_245S_mitosis","Control",17.7016939593766,0.523776117797745,0.0625971175672565
"LBR1_245S_mitosis","Control",17.7668256256754,0.51020268486561,0.0489712615264374
"LBR1_245S_mitosis","Control",17.8319572919742,0.547562012964792,0.0529506995240291
"LBR1_245S_mitosis","Control",17.897088958273,0.527724952824193,0.067287833618156
"LBR1_245S_mitosis","Control",17.9622206245718,0.513140784340565,0.0767204033577745
"LBR1_245S_mitosis","Control",18.0273522908706,0.508450091418403,0.0824803609267185
"LBR1_245S_mitosis","Control",18.0924839571694,0.516054440392268,0.0893444265849475
"LBR1_245S_mitosis","Control",18.1576156234683,0.492247768315457,0.073670740593265
"LBR1_245S_mitosis","Control",18.2227472897671,0.471725070152625,0.0844933243063414
"LBR1_245S_mitosis","Control",18.2878789560659,0.517826588578077,0.0738241535067236
"LBR1_245S_mitosis","Control",18.3530106223647,0.500410649510643,0.0723225665052959
"LBR1_245S_mitosis","Control",18.4181422886635,0.518579446014255,0.0608630867575583
"LBR1_245S_mitosis","Control",18.4832739549623,0.519525406494129,0.0489410438313622
"LBR1_245S_mitosis","Control",18.5484056212611,0.486257907447422,0.060786380300829
"LBR1_245S_mitosis","Control",18.6135372875599,0.527012427036381,0.0585014576655295
"LBR1_245S_mitosis","Control",18.6786689538587,0.520033829697781,0.046686338891138
