"cond","cell","medianArea"
"2h","013",0.608766937908384
"2h","020",0.552119537128577
"2h","021",0.601653909398484
"2h","023",0.475632704710867
"2h","024",0.520239322483723
"2h","025",0.659672550420393
"2h","026",0.511069433610671
"4h","013",0.567716834390478
"4h","020",0.559232565638477
"4h","021",0.619372273848386
"4h","023",0.588927506270482
"4h","024",0.604524803532384
"4h","025",0.591798400404381
"4h","026",0.588927506270482
