path,obj1,total1,obj2,total2,ch12,ch21
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after002-600box_peaks_clust_ch1.tif,243,28819,80,9817,106,90
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2003-600box_peaks_clust_ch1.tif,210,36909,79,12294,65,54
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after003-600box_peaks_clust_ch1.tif,229,40193,51,7274,45,42
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_008-600box_peaks_clust_ch1.tif,198,20273,4,481,0,0
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after-600box_peaks_clust_ch1.tif,94,5364,32,1890,27,27
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2-600box_peaks_clust_ch1.tif,253,23231,4,296,1,1
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after-600box_peaks_clust_ch1.tif,153,9998,28,1925,31,24
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2001-600box_peaks_clust_ch1.tif,202,21251,0,0,0,0
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after001-600box_peaks_clust_ch1.tif,173,14888,1,22,2,2
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3001-600box_peaks_clust_ch1.tif,112,13600,1,20,2,2
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after004-600box_peaks_clust_ch1.tif,133,13965,5,241,8,6
LD347n3/LBRFKBPGFPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1-600box_peaks_clust_ch1.tif,1,58,59,11568,0,0
LD347n3/LBRFKBPGFPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1_after003-600box_peaks_clust_ch1.tif,0,0,347,22732,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1001-600box_peaks_clust_ch1.tif,0,0,0,0,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1_after002-600box_peaks_clust_ch1.tif,0,0,43,2513,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1002-600box_peaks_clust_ch1.tif,0,0,21,4012,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish1_after001-600box_peaks_clust_ch1.tif,0,0,138,16951,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_004-600box_peaks_clust_ch1.tif,0,0,42,7160,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_after-600box_peaks_clust_ch1.tif,0,0,197,25028,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_003-600box_peaks_clust_ch1.tif,0,0,18,4295,0,0
LD347n3/LBRFKBPGFPStarFRB/MitoCell4/231213_LD347n2_HCT116_LBRFKBPGFPStarFRB_dish2_after001-600box_peaks_clust_ch1.tif,0,0,155,18893,0,0
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after005-700box_peaks_clust_ch1.tif,270,24965,461,45030,239,178
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_before004-700box_peaks_clust_ch1.tif,515,43975,69,10094,26,22
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell10/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after001-800box_peaks_clust_ch1.tif,422,35128,238,20185,146,233
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell10/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before005-800box_peaks_clust_ch1.tif,705,55846,7,456,2,2
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after003-600box_peaks_clust_ch1.tif,662,52788,458,30344,241,307
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_before003-600box_peaks_clust_ch1.tif,687,54682,20,2304,18,17
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after001-850box_peaks_clust_ch1.tif,778,88245,50,5356,49,65
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_before002-850box_peaks_clust_ch1.tif,833,106386,16,1377,12,14
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after-600box_peaks_clust_ch1.tif,370,58214,159,24666,168,190
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before004-600box_peaks_clust_ch1.tif,383,59408,83,13297,81,77
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after002-800box_peaks_clust_ch1.tif,171,15274,370,20940,117,91
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before001-800box_peaks_clust_ch1.tif,425,37375,4,346,0,0
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after001-600box1_peaks_clust_ch1.tif,409,30080,107,8576,102,129
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before003-600box1_peaks_clust_ch1.tif,388,35323,0,0,0,0
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell7/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after001-600box2_peaks_clust_ch1.tif,340,33990,64,5587,77,71
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell7/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before003-600box2_peaks_clust_ch1.tif,317,33694,3,142,2,2
