path,obj,total
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3002-600box_peaks_clust_ch1.tif,513,34577
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3002-600box_peaks_clust_ch2.tif,3,136
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3rapa002-600box_peaks_clust_ch1.tif,366,31202
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3rapa002-600box_peaks_clust_ch2.tif,342,27831
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3003-800box_peaks_clust_ch1.tif,462,40723
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3003-800box_peaks_clust_ch2.tif,47,7344
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3rapa003-800box_peaks_clust_ch1.tif,309,25777
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3rapa003-800box_peaks_clust_ch2.tif,473,42049
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish1001-700box_peaks_clust_ch1.tif,323,25814
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish1001-700box_peaks_clust_ch2.tif,2,111
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish1after001-700box_peaks_clust_ch1.tif,173,15214
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish1after001-700box_peaks_clust_ch2.tif,142,11618
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3-600box_peaks_clust_ch1.tif,319,24648
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3-600box_peaks_clust_ch2.tif,3,606
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3rapa001-600box_peaks_clust_ch1.tif,154,6662
LD347n2/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFP6DG5MAPPERStarFRB_dish3rapa001-600box_peaks_clust_ch2.tif,74,4858
LD347n2/LBRFKBPGFPStarFRB/IntCell1/231207_LD347n2_LBRFKBPGFPStarFRB_dish1002_peaks_clust_ch1.tif,1,26
LD347n2/LBRFKBPGFPStarFRB/IntCell1/231207_LD347n2_LBRFKBPGFPStarFRB_dish1002_peaks_clust_ch2.tif,10,348
LD347n2/LBRFKBPGFPStarFRB/IntCell1/231207_LD347n2_LBRFKBPGFPStarFRB_dish1after001_peaks_clust_ch1.tif,0,0
LD347n2/LBRFKBPGFPStarFRB/IntCell1/231207_LD347n2_LBRFKBPGFPStarFRB_dish1after001_peaks_clust_ch2.tif,338,8206
LD347n2/LBRFKBPGFPStarFRB/IntCell2/231207_LD347n2_LBRFKBPGFPStarFRB_dish1-600box_peaks_clust_ch1.tif,0,0
LD347n2/LBRFKBPGFPStarFRB/IntCell2/231207_LD347n2_LBRFKBPGFPStarFRB_dish1-600box_peaks_clust_ch2.tif,31,5315
LD347n2/LBRFKBPGFPStarFRB/IntCell2/231207_LD347n2_LBRFKBPGFPStarFRB_dish1after-600box_peaks_clust_ch1.tif,0,0
LD347n2/LBRFKBPGFPStarFRB/IntCell2/231207_LD347n2_LBRFKBPGFPStarFRB_dish1after-600box_peaks_clust_ch2.tif,62,3993
LD347n2/LBRFKBPGFPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFPStarFRB_dish1001-600box_peaks_clust_ch1.tif,3,257
LD347n2/LBRFKBPGFPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFPStarFRB_dish1001-600box_peaks_clust_ch2.tif,3,234
LD347n2/LBRFKBPGFPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFPStarFRB_dish1after002-600box_peaks_clust_ch1.tif,2,311
LD347n2/LBRFKBPGFPStarFRB/MitoCell1/231207_LD347n2_LBRFKBPGFPStarFRB_dish1after002-600box_peaks_clust_ch2.tif,226,10111
LD347n2/LBRFKBPGFPStarFRB/MitoCell2/231207_LD347n2_LBRFKBPGFPStarFRB_dish2001-600box_peaks_clust_ch1.tif,0,0
LD347n2/LBRFKBPGFPStarFRB/MitoCell2/231207_LD347n2_LBRFKBPGFPStarFRB_dish2001-600box_peaks_clust_ch2.tif,9,1137
LD347n2/LBRFKBPGFPStarFRB/MitoCell2/231207_LD347n2_LBRFKBPGFPStarFRB_dish2after-600box_peaks_clust_ch1.tif,0,0
LD347n2/LBRFKBPGFPStarFRB/MitoCell2/231207_LD347n2_LBRFKBPGFPStarFRB_dish2after-600box_peaks_clust_ch2.tif,149,13588
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_007-600box_peaks_clust_ch1.tif,334,28032
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_007-600box_peaks_clust_ch2.tif,10,778
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after001-600box_peaks_clust_ch1.tif,316,28991
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after001-600box_peaks_clust_ch2.tif,171,18269
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_009-600box_peaks_clust_ch1.tif,379,43497
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_009-600box_peaks_clust_ch2.tif,16,1480
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after003-600box_peaks_clust_ch1.tif,416,37098
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after003-600box_peaks_clust_ch2.tif,195,17113
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3003-600box_peaks_clust_ch1.tif,478,36386
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3003-600box_peaks_clust_ch2.tif,2,180
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after002-600box_peaks_clust_ch1.tif,375,26605
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after002-600box_peaks_clust_ch2.tif,130,14635
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3002-600box_peaks_clust_ch1.tif,384,28373
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3002-600box_peaks_clust_ch2.tif,2,409
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after003-600box_peaks_clust_ch1.tif,242,17724
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell4/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after003-600box_peaks_clust_ch2.tif,111,7121
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2002-600box_peaks_clust_ch1.tif,245,26110
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2002-600box_peaks_clust_ch2.tif,2,87
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after002-600box_peaks_clust_ch1.tif,243,28819
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after002-600box_peaks_clust_ch2.tif,80,9817
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2003-600box_peaks_clust_ch1.tif,210,36909
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2003-600box_peaks_clust_ch2.tif,79,12294
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after003-600box_peaks_clust_ch1.tif,229,40193
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after003-600box_peaks_clust_ch2.tif,51,7274
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_008-600box_peaks_clust_ch1.tif,198,20273
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_008-600box_peaks_clust_ch2.tif,4,481
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after-600box_peaks_clust_ch1.tif,94,5364
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after-600box_peaks_clust_ch2.tif,32,1890
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2-600box_peaks_clust_ch1.tif,253,23231
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2-600box_peaks_clust_ch2.tif,4,296
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after-600box_peaks_clust_ch1.tif,153,9998
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell2/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after-600box_peaks_clust_ch2.tif,28,1925
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2001-600box_peaks_clust_ch1.tif,202,21251
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2001-600box_peaks_clust_ch2.tif,0,0
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after001-600box_peaks_clust_ch1.tif,173,14888
LD347n3/LBRFKBPGFP6DG5MAPStarFRB/MitoCell3/231213_LD347n2_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish2_after001-600box_peaks_clust_ch2.tif,1,22
