"cond","medianArea"
"Interphase",0.462906301582865
"Interphase",0.545927852693239
"Interphase",0.562574907679399
"Interphase",0.489258900173949
"Interphase",0.575601241585761
"Interphase",0.389440328688235
"Interphase",0.437003599159322
"Metaphase",0.575601241585761
"Metaphase",0.454422032830864
"Metaphase",0.562874838457759
"Metaphase",0.49305113838241
"Metaphase",0.575451276196581
"Metaphase",0.56197504612268
"Metaphase",0.489258900173949
"Metaphase",0.658001379399932
"Metaphase",0.588027713935404
