"cell_channel","cond","cell_type","cell_state","rep","obj"
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n4",237
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Post","LD347n4",103
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n4",336
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Interphase","Pre","LD347n4",5
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",121
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",58
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",168
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",6
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",249
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",88
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",268
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",0
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",227
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",76
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",198
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",19
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",137
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",19
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",280
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",0
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",130
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Post","LD347n4",153
"ch1","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",195
"ch2","LBRFKBPGFP6DG5MAPStarFRB","Metaphase","Pre","LD347n4",6
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",51
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",2
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n4",316
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n4",1
