"cond","Norm"
"Control",0.898481215027978
"Control",0.947013487475915
"Control",0.49031007751938
"Control",0.861702127659574
"Control",0.2488
"Control",0.330188679245283
"Control",0.334473909324209
"Control",0.498290598290598
"Control",0.419224555735057
"Control",0.540740740740741
"Control",0.33859649122807
"Control",0.897102897102897
"Control",0.377250409165303
"Control",0.909828674481515
"Control",0.212172442941674
"Control",0.739970282317979
"Control",0.794086589229145
"Control",1
"Control",0.764705882352941
"Control",0.738317757009346
"Control",0.717057396928052
"Control",0.837333333333333
"Control",0.419087136929461
"Control",0.295562599049128
"Control",0.485057471264368
"Control",0.343493552168816
"Control",0.678571428571429
"Control",0.934762348555452
"Control",0.616171954964176
"Control",0.907640638119228
"Control",0.63019508057676
"Control",0.698131760078663
"Control",0.77822990844354
"Control",0.704123711340206
"Control",0.824974411463664
"Control",0.884652981427175
"Control",0.452201933404941
"Control",0.505030181086519
"Control",0.942075623491553
"Control",0.648798521256932
"Control",0.730294396961064
"Control",0.543546694648478
"Control",0.610287707061901
"Thapsigargin",0.782844733984799
"Thapsigargin",0.406124093473006
"Thapsigargin",0.964150943396226
"Thapsigargin",0.880952380952381
"Thapsigargin",0.948402948402948
"Thapsigargin",0.871297242083759
"Thapsigargin",0.802298850574713
"Thapsigargin",0.886113886113886
"Thapsigargin",0.919291338582677
"Thapsigargin",0.736641221374046
"Thapsigargin",0.906746031746032
"Thapsigargin",0.840282232200128
"Thapsigargin",0.871651785714286
"Thapsigargin",0.957446808510638
"Thapsigargin",0.906281156530409
"Thapsigargin",0.855276381909548
"Thapsigargin",0.548780487804878
"Thapsigargin",0.29126213592233
"Thapsigargin",0.875
"Thapsigargin",0.408545727136432
"Thapsigargin",0.629740518962076
"Thapsigargin",0.848484848484849
"Thapsigargin",0.784599375650364
"Thapsigargin",0.966604823747681
"Thapsigargin",0.625912408759124
"Thapsigargin",0.630577907827359
"Thapsigargin",1
"Thapsigargin",0.865030674846626
"Thapsigargin",0.577594123048669
"Thapsigargin",0.725512528473804
"Thapsigargin",0.539651837524178
"Thapsigargin",0.91827468785471
"Thapsigargin",0.575824175824176
"Thapsigargin",0.705771050141911
"Thapsigargin",0.942391304347826
"Thapsigargin",0.783838383838384
"Thapsigargin",0.958115183246073
"Thapsigargin",0.580099502487562
"Thapsigargin",0.423982869379015
"Thapsigargin",0.890399320305862
"Thapsigargin",0.908477842003854
"Thapsigargin",0.823766364551863
"Thapsigargin",0.670357751277683
"Thapsigargin",0.73066424021838
"Thapsigargin",0.552162849872774
"Thapsigargin",0.671665351223362
"Thapsigargin",0.876543209876543
"Thapsigargin",0.979097909790979
"Thapsigargin",0.745471877979028
"Thapsigargin",0.88411214953271
"Thapsigargin",0.991140642303433
"Thapsigargin",0.619389587073609
"Thapsigargin",0.530660377358491
"Thapsigargin",0.915111940298508
"Thapsigargin",0.836628511966701
"Thapsigargin",0.642516682554814
"Thapsigargin",0.780295566502463
"Thapsigargin",0.378621378621379
"Thapsigargin",0.729483282674772
"Thapsigargin",0.619238476953908
"Thapsigargin",0.686607142857143
"Thapsigargin",0.667313288069835
