"cond","cell","density_in"
"2h","013",0.232728544736243
"2h","020",0.268760874321421
"2h","021",0.140306635254523
"2h","023",0.109180000829263
"2h","024",0.309209451934812
"2h","025",0.0611485917264133
"2h","026",0.299488102900405
"4h","013",0.13634956168217
"4h","020",0.236400670216372
"4h","021",0.130394944572301
"4h","023",0.104878099878124
"4h","024",0.25362312735051
"4h","025",0.077358417940867
"4h","026",0.227000042901794
