"trace","t","mean_intensity","area"
"225",66.0427,163.125,0.0657530828280116
"225",67.0433,166.75,0.0763584187680134
"225",68.0418,163.05,0.0784794859560138
"225",69.0427,169.53125,0.133627232844024
"225",70.0426,165.458333333333,0.11453762815202
"225",71.0428,165.551724137931,0.123021896904022
"225",72.043,167.259259259259,0.11453762815202
"225",73.0431,169.961538461538,0.108174426588019
"225",74.0427,166.740740740741,0.11453762815202
"225",75.0419,166,0.137869367220024
"225",76.0429,169.818181818182,0.142111501596025
"225",77.0425,165.096774193548,0.131506165656023
"225",78.0426,167.75,0.146353635972026
"225",79.0425,165.74358974359,0.165443240664029
"225",80.0423,174.214285714286,0.118779762528021
"225",81.0424,169.7,0.125142964092022
"225",82.0426,166.033333333333,0.125142964092022
"225",83.0418,166.692307692308,0.108174426588019
"225",84.0429,164.451612903226,0.129385098468023
"225",85.0431,167.130434782609,0.0975690906480172
"225",86.0418,167.870967741935,0.131506165656023
"225",87.0421,164.25,0.135748300032024
"225",88.0427,167.965517241379,0.123021896904022
"225",89.0427,169.966666666667,0.127264031280022
"225",90.0425,165.1,0.133627232844024
"225",91.0425,170.761904761905,0.178169643792032
"225",92.0433,167,0.165443240664029
"225",93.0423,167.615384615385,0.163322173476029
"225",94.0419,170.463414634146,0.17180644222803
"225",95.0424,170.025,0.16968537504003
"225",96.0418,172.95652173913,0.193017114108034
"225",97.0422,175.790697674419,0.188774979732034
"225",98.0426,175.190476190476,0.186653912544033
"225",99.0422,167.3,0.209985651612037
"225",100.0423,170.688888888889,0.188774979732034
"225",101.0432,172.121951219512,0.171806442228031
"225",102.0424,175.813953488372,0.182411778168033
"225",103.0422,171.826086956522,0.193017114108034
"225",104.0422,175.558139534884,0.182411778168033
"225",105.0422,172.555555555556,0.190896046920034
"225",106.0422,168.941176470588,0.214227785988038
"225",107.0421,171.24,0.214227785988038
"225",108.0416,168.5,0.22695418911604
"225",109.0427,172.980769230769,0.218469920364039
"225",110.0421,174.520833333333,0.209985651612037
"225",111.0423,173.185185185185,0.229075256304041
"225",112.0419,172.127272727273,0.231196323492041
"225",113.043,173.677966101695,0.250285928184044
"225",114.0416,174.87037037037,0.22695418911604
"225",115.0421,177.735849056604,0.229075256304041
"225",116.0419,176.796610169492,0.256649129748046
"225",117.0424,173.606557377049,0.258770196936046
"225",118.0416,175.315789473684,0.235438457868042
"225",119.0421,176.411764705882,0.220590987552039
"225",120.043,176.775862068966,0.250285928184044
"225",121.0416,176.555555555556,0.231196323492041
"225",122.0422,175.730769230769,0.216348853176038
"225",123.0428,177.58,0.212106718800038
"225",124.0411,176.754385964912,0.237559525056042
"225",125.042,177.339285714286,0.241801659432043
"225",126.0415,179.362068965517,0.243922726620043
"225",127.0421,173.26,0.207864584424037
"225",128.0416,176.581818181818,0.229075256304041
"225",129.0429,180.283018867925,0.231196323492041
"225",130.0428,174.733333333333,0.252406995372045
"225",131.0419,180.357142857143,0.237559525056042
"225",132.0422,170.316666666667,0.248164860996044
"225",133.0415,178.344262295082,0.256649129748046
"225",134.0415,176.55,0.254528062560045
"225",135.0425,179.559322033898,0.252406995372045
"225",136.0425,179.150943396226,0.229075256304041
"225",137.0427,177.516666666667,0.248164860996044
"225",138.0421,179.540983606557,0.256649129748046
"225",139.042,177.389830508475,0.258770196936046
"225",140.0414,183.259259259259,0.231196323492041
"225",141.043,178.870967741935,0.263012331312047
"225",142.0421,181.036363636364,0.235438457868042
"225",143.042,182.056603773585,0.22695418911604
"225",144.042,178.576271186441,0.246043793808044
"225",145.0429,179.232142857143,0.237559525056042
"225",146.0427,181.64,0.22271205474004
"225",147.0427,177.584905660377,0.235438457868042
"225",148.0426,177.038461538462,0.22271205474004
"225",149.0414,174.649122807018,0.243922726620043
"225",150.0416,176.191489361702,0.199380315672035
"225",151.0423,179.283018867925,0.218469920364039
"225",152.0419,175.519230769231,0.218469920364039
"225",153.0414,174.727272727273,0.184532845356033
"225",154.0415,179.276595744681,0.199380315672035
"225",155.0426,174.836734693878,0.201501382860036
"225",156.0417,172.844444444444,0.197259248484035
"263",74.0427,161.55,0.0848426875200154
"263",75.0419,162.866666666667,0.0636320156400115
"263",76.0429,157.636363636364,0.0466634781360085
"263",77.0425,157.153846153846,0.0530266797000096
"263",78.0426,160,0.099690157836018
"263",79.0425,157.866666666667,0.0636320156400114
"263",80.0423,164.222222222222,0.0742373515800133
"263",81.0424,163.272727272727,0.0933269562720167
"263",82.0426,161.772727272727,0.0933269562720168
"263",83.0418,160.5,0.0933269562720168
"263",84.0429,162.76,0.106053359400019
"263",85.0431,162,0.0996901578360179
"263",86.0418,162.56,0.108174426588019
"263",87.0421,158.44,0.103932292212019
"263",88.0427,162.346153846154,0.101811225024018
"263",89.0427,164.6,0.106053359400019
"263",90.0425,161.4375,0.137869367220025
"263",91.0425,155.826086956522,0.103932292212019
"263",92.0433,159.92,0.106053359400019
"263",93.0423,159.882352941176,0.0699952172040126
"263",94.0419,161.48,0.108174426588019
"263",95.0424,161.304347826087,0.0975690906480175
"263",96.0418,158.269230769231,0.11241656096402
"263",97.0422,161.4,0.0848426875200153
"263",98.0426,162.16,0.108174426588019
"263",99.0422,155.636363636364,0.0933269562720167
"263",100.0423,159.58064516129,0.131506165656024
"263",101.0432,159.354838709677,0.133627232844024
"263",102.0424,160.464285714286,0.120900829716022
"263",103.0422,158.555555555556,0.11453762815202
"263",104.0422,157.37037037037,0.114537628152021
"263",105.0422,157.526315789474,0.0806005531440147
"263",106.0422,162.5625,0.135748300032025
"263",107.0421,167.814814814815,0.116658695340021
"263",108.0416,162.565217391304,0.095448023460017
"263",109.0427,160.884615384615,0.11241656096402
"263",110.0421,156.739130434783,0.103932292212019
"263",111.0423,160.157894736842,0.0806005531440147
"263",112.0419,163.391304347826,0.0975690906480177
"263",113.043,160.739130434783,0.0996901578360182
"263",114.0416,160.407407407407,0.123021896904022
"263",115.0421,158.586206896552,0.125142964092023
"263",116.0419,159.363636363636,0.142111501596026
"263",117.0424,162.695652173913,0.0975690906480178
"263",118.0416,158.868421052632,0.152716837536028
"263",119.0421,161.448275862069,0.125142964092023
"263",120.043,161.371428571429,0.144232568784026
"263",121.0416,162.575,0.16756430785203
"263",122.0422,162.5,0.171806442228031
"263",123.0428,162.611111111111,0.152716837536028
"263",124.0411,163.7,0.16968537504003
"263",125.042,166.548387096774,0.131506165656024
"263",126.0415,161.390243902439,0.173927509416032
"263",127.0421,160.742857142857,0.146353635972026
"263",128.0416,163.628571428571,0.150595770348027
"263",129.0429,161.857142857143,0.180290710980033
"263",130.0428,159.970588235294,0.137869367220025
"263",131.0419,161.444444444444,0.193017114108035
"263",132.0422,163.695652173913,0.193017114108035
"263",133.0415,164.769230769231,0.163322173476029
"263",134.0415,161.025,0.173927509416032
"263",135.0425,164.868421052632,0.156958971912028
