"organelle","prot","ch2"
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.188405797101449
"Mitochondria","Sec61",0.488888888888889
"Mitochondria","Sec61",0.521739130434783
"Mitochondria","Sec61",0.266666666666667
"Mitochondria","Sec61",0.723404255319149
"Mitochondria","Sec61",0
"Mitochondria","Sec61",1
"Mitochondria","Sec61",0.488372093023256
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.0350877192982456
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.037037037037037
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.615384615384615
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.708333333333333
"Mitochondria","Sec61",0.75
"Mitochondria","Sec61",0.294117647058824
"Mitochondria","Sec61",0.612903225806452
"Mitochondria","Sec61",0.636363636363636
"Mitochondria","Sec61",0.36
"Mitochondria","Sec61",0.0833333333333333
"Mitochondria","Sec61",0.268292682926829
"Mitochondria","Sec61",0.212121212121212
"Mitochondria","Sec61",0.133333333333333
"Mitochondria","Sec61",0.225806451612903
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.952380952380952
"Mitochondria","Sec61",1
"Mitochondria","Sec61",0.653846153846154
"Mitochondria","Sec61",0.413793103448276
"Mitochondria","Sec61",0.76
"Mitochondria","Sec61",0.62962962962963
"Mitochondria","Sec61",0.214285714285714
"Mitochondria","Sec61",0.227272727272727
"Mitochondria","Sec61",0.137931034482759
"Mitochondria","Sec61",0.3125
"Mitochondria","Sec61",0.107142857142857
"Mitochondria","Sec61",0.411764705882353
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.0263157894736842
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.0555555555555556
"Mitochondria","Sec61",0.678571428571429
"Mitochondria","Sec61",1
"Mitochondria","Sec61",0.821428571428571
"Mitochondria","Sec61",0.36
"Mitochondria","Sec61",1
"Mitochondria","Sec61",0.173913043478261
"Mitochondria","Sec61",0.8
"Mitochondria","Sec61",0.695652173913043
"Mitochondria","Sec61",0.555555555555556
"Mitochondria","Sec61",1
"Mitochondria","Sec61",1
"Mitochondria","Sec61",0.791666666666667
"Mitochondria","Sec61",1
"Mitochondria","Sec61",1
"Mitochondria","Sec61",1
"Mitochondria","Sec61",0.782608695652174
"Mitochondria","Sec61",1
"Mitochondria","Sec61",0.620689655172414
"Mitochondria","Sec61",0.952380952380952
"Mitochondria","Sec61",1
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.206896551724138
"Mitochondria","Sec61",0.483870967741935
"Mitochondria","Sec61",0.631578947368421
"Mitochondria","Sec61",0.555555555555556
"Mitochondria","Sec61",0.666666666666667
"Mitochondria","Sec61",0.6875
"Mitochondria","Sec61",0.260869565217391
"Mitochondria","Sec61",0.483870967741935
"Mitochondria","Sec61",0.608695652173913
"Mitochondria","Sec61",0
"Mitochondria","Sec61",0.724137931034483
"Mitochondria","Sec61",0.565217391304348
"Mitochondria","Sec61",0.666666666666667
"Mitochondria","Sec61",0.852941176470588
"Mitochondria","Sec61",0.588235294117647
"Mitochondria","Sec61",0.379310344827586
"Mitochondria","Sec61",0.192307692307692
"Mitochondria","Sec61",0.666666666666667
"Mitochondria","Sec61",0.32258064516129
"Mitochondria","Sec61",0.347826086956522
"Mitochondria","Sec61",0.37037037037037
"Mitochondria","Sec61",0.333333333333333
"Mitochondria","Sec61",0.233333333333333
"Mitochondria","Sec61",0.393258426966292
"Mitochondria","Sec61",0.571428571428571
"Mitochondria","Sec61",0.914285714285714
"Mitochondria","Sec61",0.82051282051282
"Mitochondria","Sec61",0.709677419354839
