"organelle","prot","ch2"
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0.827586206896552
"Endosomes","LBR",0
"Endosomes","LBR",0.758620689655172
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0.0833333333333333
"Endosomes","LBR",0
"Endosomes","LBR",0.458333333333333
"Endosomes","LBR",0.407407407407407
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0.95
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",1
"Endosomes","LBR",1
"Endosomes","LBR",0.416666666666667
"Endosomes","LBR",0.7
"Endosomes","LBR",0
"Endosomes","LBR",0.777777777777778
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0.523809523809524
"Endosomes","LBR",0.1
"Endosomes","LBR",0.444444444444444
"Endosomes","LBR",0.904761904761905
"Endosomes","LBR",0
"Endosomes","LBR",0.476190476190476
"Endosomes","LBR",0.166666666666667
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0.12
"Endosomes","LBR",0.5
"Endosomes","LBR",0.0666666666666667
"Endosomes","LBR",0.85
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","LBR",0
"Endosomes","Sec61",0
"Endosomes","Sec61",0.7
"Endosomes","Sec61",0
"Endosomes","Sec61",1
"Endosomes","Sec61",1
"Endosomes","Sec61",1
"Endosomes","Sec61",0.357142857142857
"Endosomes","Sec61",0
"Endosomes","Sec61",0
